3.499999999999999778e-01,7.440000000000010161e+00
8.600000000000009859e-01,7.260000000000009557e+00
4.500000000000010103e-01,6.960000000000009734e+00
8.000000000000010436e-01,6.700000000000009948e+00
1.770000000000000018e+00,6.350000000000010303e+00
2.370000000000000107e+00,6.290000000000009805e+00
2.370000000000000107e+00,5.990000000000009983e+00
2.740000000000000213e+00,5.710000000000009734e+00
2.589999999999999858e+00,5.480000000000010196e+00
3.419999999999999929e+00,4.840000000000009628e+00
3.129999999999999893e+00,1.689999999999999947e+00
2.830000000000000071e+00,1.389999999999999902e+00
3.160000000000000142e+00,1.040000000000000036e+00
3.899999999999999911e+00,7.500000000000009992e-01
4.930000000000010374e+00,8.200000000000009504e-01
5.680000000000010374e+00,4.000000000000000222e-01
6.900000000000010125e+00,3.800000000000000044e-01
6.830000000000009841e+00,9.400000000000009459e-01
7.590000000000009628e+00,1.649999999999999911e+00
9.200000000000009948e+00,1.139999999999999902e+00
1.057000000000000028e+01,1.939999999999999947e+00
1.064000000000000057e+01,2.359999999999999876e+00
1.001999999999999957e+01,2.589999999999999858e+00
1.017999999999999972e+01,3.109999999999999876e+00
9.810000000000009379e+00,3.450000000000000178e+00
1.032000000000000028e+01,3.830000000000000071e+00
1.009999999999999964e+01,4.460000000000009734e+00
9.830000000000010729e+00,5.000000000000000000e+00
9.280000000000010019e+00,4.690000000000010161e+00
9.610000000000010090e+00,5.620000000000009877e+00
1.051999999999999957e+01,6.420000000000009699e+00
1.105000000000000071e+01,8.140000000000009450e+00
9.960000000000009734e+00,8.400000000000009237e+00
9.600000000000010303e+00,8.810000000000009379e+00
8.870000000000009877e+00,8.830000000000010729e+00
8.320000000000009166e+00,9.210000000000009734e+00
8.400000000000009237e+00,9.750000000000010658e+00
7.830000000000009841e+00,9.400000000000009237e+00
7.410000000000009912e+00,1.000000000000000000e+01
6.400000000000010125e+00,1.075000000000000000e+01
5.620000000000009877e+00,1.057000000000000028e+01
5.530000000000010019e+00,9.520000000000010232e+00
4.420000000000009699e+00,9.030000000000010019e+00
4.849999999999999645e+00,8.800000000000009592e+00
4.190000000000000391e+00,8.560000000000009379e+00
3.339999999999999858e+00,8.620000000000009877e+00
3.250000000000000000e+00,9.110000000000010090e+00
2.810000000000000053e+00,9.060000000000009379e+00
3.180000000000000160e+00,7.790000000000009805e+00
1.949999999999999956e+00,7.630000000000009663e+00
1.729999999999999982e+00,7.940000000000010161e+00
